LABELS
SEPARATOR TAB
DATA
'Ovis aries'	Sheep (Ovis aries)
'Bos taurus'	Domestic cattle (Bos taurus)
'Equus caballus'	Horse (Equus caballus)
'Pangasianodon hypophthalmus'	Iridescent shark (Pangasianodon hypophthalmus)
'Mugil cephalus'	Flathead grey mullet (Mugil cephalus)
'Sebastes marinus'	Ocean perch (Sebastes marinus)
'Lepidorhombus whiffiagonis'	Megrim (Lepidorhombus whiffiagonis)
'Solea solea'	Common sole (Solea solea)
'Paralichthys olivaceus'	Olive flounder (Paralichthys olivaceus)
'Xiphias gladius'	Swordfish (Xiphias gladius)
'Scomber australasicus'	Blue mackerel (Scomber australasicus)
'Scomber scombrus'	Atlantic mackerel (Scomber scombrus)
'Scomber japonicus'	Chub mackerel (Scomber japonicus)
'Thunnus albacares'	Yellowfin tuna (Thunnus albacares)
'Lates calcarifer'	Barramundi perch (Lates calcarifer)
'Oreochromis mossambicus'	Mozambique tilapia (Oreochromis mossambicus)
'Pollachius virens'	Saithe (Pollachius virens)
'Gadus chalcogrammus'	Alaska pollock (Gadus chalcogrammus)
'Gadus morhua'	Atlantic cod (Gadus morhua)
'Salvelinus fontinalis'	Brook trout (Salvelinus fontinalis)
'Salmo salar'	Atlantic salmon (Salmo salar)
'Oncorhynchus mykiss'	Rainbow trout (Oncorhynchus mykiss)
'Oncorhynchus kisutch'	Coho salmon (Oncorhynchus kisutch)
'Oncorhynchus keta'	Chum salmon (Oncorhynchus keta)
'Cyprinus carpio'	Common carp (Cyprinus carpio)
'Ctenopharyngodon idella'	Grass carp (Ctenopharyngodon idella)
'Sardinops melanosticta'	South american pilchard (Sardinops melanosticta)
'Clupea harengus'	Atlantic herring (Clupea harengus)
'Raja clavata'	Thornback ray (Raja clavata)
'Scolopendra mutilans'	Chinese red-headed centipede (Scolopendra mutilans)
'Acanthoscelides obtectus'	Bean weevil (Acanthoscelides obtectus)
'Liposcelis bostrychophila'	Booklouse (Liposcelis bostrychophila)
'Apis mellifera'	Western honey bee (Apis mellifera)
'Bombyx mori'	Domestic silk moth (Bombyx mori)
'Crangon crangon'	North sea shrimp (Crangon crangon)
'Panulirus stimpsoni'	Chinese spiny lobster (Panulirus stimpsoni)
'Portunus trituberculatus'	Gazami crab (Portunus trituberculatus)
'Portunus pelagicus'	Flower crab (Portunus pelagicus)
'Charybdis feriata'	Crucifix crab (Charybdis feriata)
'Scylla paramamosain'	Green mud crab (Scylla paramamosain)
'Scylla serrata'	Mud crab (Scylla serrata)
'Archaeopotamobius sibiriensis'	Crayfish (Archaeopotamobius sibiriensis)
'Pontastacus leptodactylus'	Danube crayfish (Pontastacus leptodactylus)
'Homarus gammarus'	European lobster (Homarus gammarus)
'Homarus americanus'	American lobster (Homarus americanus)
'Trachypenaeus curvirostris'	Southern rough shrimp (Trachypenaeus curvirostris)
'Metapenaeus ensis'	Greasyback shrimp (Metapenaeus ensis)
'Penaeus aztecus'	Brown shrimp (Penaeus aztecus)
'Penaeus vannamei'	Pacific white shrimp (Penaeus vannamei)
'Penaeus monodon'	Giant tiger prawn (Penaeus monodon)
'Haliotis laevigata x Haliotis rubra'	Greenlip/black lip abalone hybrid (Haliotis laevigata x Haliotis rubra)
'Haliotis discus'	Disk abalone (Haliotis discus)
'Amphioctopus fangsiao'	Webfoot octopus (Amphioctopus fangsiao)
'Octopus vulgaris'	Common octopus (Octopus vulgaris)
'Ommastrephes bartramii'	Neon flying squid (Ommastrephes bartramii)
'Todarodes pacificus'	Japanese flying squid (Todarodes pacificus)
'Magallana gigas'	Pacific oyster (Magallana gigas)
'Pecten maximus'	Great scallop (Pecten maximus)
'Mytilus edulis'	Blue mussel (Mytilus edulis)
'Anisakis simplex'	Whale worm (Anisakis simplex)
'Pinus yunnanensis'	Yunnan pine (Pinus yunnanensis)
'Hesperocyparis macrocarpa'	Monterey cypress (Hesperocyparis macrocarpa)
'Hesperocyparis arizonica'	Arizona cypress (Hesperocyparis arizonica)
'Juniperus oxycedrus'	Prickly juniper (Juniperus oxycedrus)
'Juniperus ashei'	Ashe's juniper (Juniperus ashei)
'Cryptomeria japonica'	Sugi (Cryptomeria japonica)
'Platanus orientalis'	Oriental plane tree (Platanus orientalis)
'Macadamia integrifolia'	Macadamia nut (Macadamia integrifolia)
'Phoenix dactylifera'	Date palm (Phoenix dactylifera)
'Vitis vinifera'	Wine grape (Vitis vinifera)
'Punica granatum'	Pomegranate (Punica granatum)
'Crocus sativus'	Saffron crocus (Crocus sativus)
